AUDIO_FILE,REACTION_TIME,FREQUENCY_R,ID,BLOCK_4,ORDER,LIST,CONDITION,ITEM,PICTURE,WORD_FRENCH,RESPONSE,CATEGORY,NEW_PIC,TYPE_OF_ERROR,NO_RESPONSE,SEM1,ERROR,CATEGORY_RESPONSE
sub17_PICTURE_690.wav,1739.2,HIGH,sub17,3,124,6,Category,83,PICTURE_690,chapeau,chapeau,vêtements,0,,0,0,0,0
sub07_PICTURE_653.wav,1140.4,LOW,sub07,3,124,2,Category,286,PICTURE_653,parapluie,parapluie,accessoires,0,,0,0,0,0
sub23_PICTURE_376.wav,1153.1,LOW,sub23,3,124,1,Basic,363,PICTURE_376,sculpteur,sculpteur,professions,0,,0,0,0,0
sub04_PICTURE_376.wav,1254.7,LOW,sub04,3,124,1,Basic,363,PICTURE_376,sculpteur,sculpteur,professions,0,,0,0,0,0
sub08_PICTURE_213.wav,1072.3,HIGH,sub08,3,124,3,Category,318,PICTURE_213,policier,policier,professions,0,,0,0,0,0
sub09_PICTURE_213.wav,1087,HIGH,sub09,3,124,3,Category,318,PICTURE_213,policier,policier,professions,0,,0,0,0,0
sub05_PICTURE_653.wav,1387.3,LOW,sub05,3,124,2,Category,286,PICTURE_653,parapluie,parapluie,accessoires,0,,0,0,0,0
sub15_PICTURE_213.wav,1824,HIGH,sub15,3,124,3,Category,318,PICTURE_213,policier,policier,professions,0,,0,0,0,0
sub10_PICTURE_213.wav,1964,HIGH,sub10,3,124,3,Category,318,PICTURE_213,policier,policier,professions,0,,0,0,0,0
sub01_PICTURE_376.wav,1781.6,LOW,sub01,3,124,1,Basic,363,PICTURE_376,sculpteur,sculpteur,professions,0,,0,0,0,0
sub21_PICTURE_657.wav,1123.9,HIGH,sub21,3,124,4,Category,242,PICTURE_657,médaille,médaille,accessoires,0,,0,0,0,0
sub20_PICTURE_657.wav,1168.1,HIGH,sub20,3,124,4,Category,242,PICTURE_657,médaille,médaille,accessoires,0,,0,0,0,0
sub22_PICTURE_657.wav,1263.9,HIGH,sub22,3,124,4,Category,242,PICTURE_657,médaille,médaille,accessoires,0,,0,0,0,0
sub06_PICTURE_376.wav,2478,LOW,sub06,3,124,1,Basic,363,PICTURE_376,sculpteur,sculpteur,professions,0,,0,0,0,0
sub13_PICTURE_169.wav,858.6,HIGH,sub13,3,125,5,Basic,140,PICTURE_169,dos,dos,parties du corps,0,,0,0,0,0
